ingredient,original_unit,grams_per_unit,woolworths_url
Black Beans,1 can,400,https://www.woolworths.com.au/shop/productdetails/663581/woolworths-black-beans-no-added-salt-can
Mozzarella Cheese,100 grams,100,https://www.woolworths.com.au/shop/productdetails/334934/devondale-shredded-mozzarella-cheese
Basmati Rice,1 cup,185,https://www.woolworths.com.au/shop/productdetails/694550/woolworths-basmati-rice
Chicken Thigh,100 grams,100,https://www.woolworths.com.au/shop/productdetails/727622/woolworths-rspca-approved-chicken-thigh-fillets-skinless-tray
Fajita Seasoning,1 packet,40,https://www.woolworths.com.au/shop/productdetails/248679/old-el-paso-fajita-spice-mix-mexican-style
Sriracha Sauce,5 grams,5,https://www.woolworths.com.au/shop/productdetails/655419/huy-fong-sriracha-hot-chilli-sauce
Biryani Seasoning,1 packet,50,https://www.woolworths.com.au/shop/productdetails/437364/shan-seasoning-mix-biryani
Peanut Oil,1 tablespoon,14,https://www.woolworths.com.au/shop/productdetails/73073/woolworths-peanut-oil
Greek Yogurt,100 grams,100,https://www.woolworths.com.au/shop/productdetails/463666/chobani-greek-yogurt-natural-whole-milk
Brown Onion,100 grams,100,https://www.woolworths.com.au/shop/productdetails/144329/onion-brown
Frozen Carrots,100 grams,100,https://www.woolworths.com.au/shop/productdetails/768562/woolworths-julienne-carrots
Frozen Beans,100 grams,100,https://www.woolworths.com.au/shop/productdetails/768558/woolworths-frozen-sliced-beans
Crushed Tomatoes,1 can,400,https://www.woolworths.com.au/shop/productdetails/230392/ardmona-crushed-vine-ripened-tomatoes
Extra Virgin Olive Oil,1 tablespoon,14,https://www.woolworths.com.au/shop/productdetails/248084/woolworths-extra-virgin-olive-oil
Pancetta,100 grams,100,https://www.woolworths.com.au/shop/productdetails/805951/primo-diced-pancetta
Beef Mince,100 grams,100,https://www.woolworths.com.au/shop/productdetails/577864/woolworths-beef-mince
Pork Mince,100 grams,100,https://www.woolworths.com.au/shop/productdetails/169853/woolworths-pork-mince
Pasta Spirals,100 grams,100,https://www.woolworths.com.au/shop/productdetails/39442/san-remo-spirals-pasta-no-16
Parmesan,100 grams,100,https://www.woolworths.com.au/shop/productdetails/324006/zanetti-parmigiano-reggiano-parmigiano-reggiano
